id,state,lat,long
1,Canada,60,-96
2, Bahamas ,24,-76
3, Cuba ,22,-79.5
4, Haiti ,19,-72.416667
5, Dominican Republic ,19,-70.666667
6, Jamaica ,18.25,-77.5
7, Trinidad and Tobago ,11,-61
8, Barbados ,13.166667,-59.533333
9, Dominica ,15.5,-61.333333
10, Grenada ,12.116667,-61.666667
11, Mexico ,23,-102
12, Belize ,17.25,-88.75
13, Guatemala ,15.5,-90.25
14, Honduras ,15,-86.5
15, El Salvador ,13.833333,-88.916667
16, Nicaragua ,13,-85
17, Costa Rica ,10,-84
18, Panama ,9,-80
19, Colombia ,4,-72
20, Venezuela ,8,-66
21, Guyana ,5,-59
22, Suriname ,4,-56
23, Ecuador ,-2,-77.5
24, Peru ,-10,-76
25, Brazil ,-10,-55
26, Bolivia ,-17,-65
27, Paraguay ,-22.993333,-57.996389
28, Chile ,-30,-71
29, Argentina ,-34,-64
30, Uruguay ,-33,-56
31, United Kingdom ,54,-4
32, Ireland ,53,-8
33, Netherlands ,52.5,5.75
34, Belgium ,50.833333,4
35, Luxembourg ,49.75,6.166667
36, France ,46,2
37, Monaco ,43.733333,7.4
38, Liechtenstein ,47.166667,9.533333
39, Switzerland ,47,8
40, Spain ,40,-4
41, Andorra ,42.5,1.5
42, Portugal ,39.5,-8
43, Germany ,51.5,10.5
44, Poland ,52,20
45, Austria ,47.333333,13.333333
46, Hungary ,47,20
47, Czech Republic ,49.75,15
48, Slovakia ,48.666667,19.5
49, Italy ,42.833333,12.833333
50, San Marino ,43.933333,12.416667
51, Malta ,35.916667,14.433333
52, Albania ,41,20
53, Montenegro ,42.5,19.3
54, Macedonia ,41.833333,22
55, Croatia ,45.166667,15.5
56, Bosnia and Herzegovina ,44.25,17.833333
57, Kosovo ,42.583333,21
58, Slovenia ,46.25,15.166667
59, Greece ,39,22
60, Cyprus ,35,33
61, Bulgaria ,43,25
62, Moldova ,47,29
63, Romania ,46,25
64, Russia ,60,100
65, Estonia ,59,26
66, Latvia ,57,25
67, Lithuania ,56,24
68, Ukraine ,49,32
69, Belarus ,53,28
70, Armenia ,40,45
71, Georgia ,41.999981,43.499905
72, Azerbaijan ,40.5,47.5
73, Finland ,64,26
74, Sweden ,62,15
75, Norway ,62,10
76, Denmark ,56,10
77, Iceland ,65,-18
78, Cape Verde ,16,-24
79, Sao Tome and Principe ,1,7
80, Guinea-Bissau ,12,-15
81, Equatorial Guinea ,2,10
82, Gambia ,13.5,-15.5
83, Mali ,17,-4
84, Senegal ,14,-14
85, Benin ,9.5,2.25
86, Mauritania ,20,-12
87, Niger ,16,8
88, Guinea ,11,-10
89, Burkina Faso ,13,-2
90, Liberia ,6.5,-9.5
91, Sierra Leone ,8.5,-11.5
92, Ghana ,8,-2
93, Togo ,8,1.166667
94, Cameroon ,6,12
95, Nigeria ,10,8
96, Gabon ,-1,11.75
97, Central African Republic ,7,21
98, Chad ,15,19
99, Democratic Republic of the Congo ,0,25
100, Uganda ,2,33
101, Kenya ,1,38
102, Tanzania ,-6,35
103, Burundi ,-3.5,30
104, Rwanda ,-2,30
105, Somalia ,6,48
106, Djibouti ,11.5,42.5
107, Ethiopia ,8,38
108, Eritrea ,15,39
109, Angola ,-12.5,18.5
110, Mozambique ,-18.25,35
111, Zambia ,-15,30
112, Zimbabwe ,-19,29
113, Malawi ,-13.5,34
114, South Africa ,-30,26
115, Namibia ,-22,17
116, Lesotho ,-29.5,28.25
117, Botswana ,-22,24
118, Swaziland ,-26.5,31.5
119, Madagascar ,-20,47
120, Comoros ,-12.166667,44.25
121, Mauritius ,-20.3,57.583333
122, Seychelles ,-4.583333,55.666667
123, Morocco ,32,-5
124, Algeria ,28,3
125, Tunisia ,34,9
126, Libya ,25,17
127, Sudan ,16,30
128, Iran ,32,53
129, Turkey ,39.059012,34.911546
130, Iraq ,33,44
131, Egypt ,27,30
132, Syria ,35,38
133, Lebanon ,33.833333,35.833333
134, Jordan ,31,36
135, Israel ,31.5,34.75
136, Saudi Arabia ,25,45
137, Yemen ,15.5,47.5
138, Kuwait ,29.5,47.75
139, Bahrain ,26,50.5
140, Qatar ,25.5,51.25
141, United Arab Emirates ,24,54
142, Oman ,21,57
143, Afghanistan ,33,66
144, Turkmenistan ,40,60
145, Tajikistan ,39,71
146, Kyrgyzstan ,41,75
147, Uzbekistan ,41.707542,63.84911
148, Kazakhstan ,48,68
149, China ,35,105
150, Mongolia ,46,105
151, Taiwan ,24,121
152, North Korea ,40,127
153, South Korea ,37,127.5
154, Japan ,36,138
155, India ,20,77
156, Bhutan ,27.5,90.5
157, Pakistan ,30,70
158, Bangladesh ,24,90
159, Sri Lanka ,7,81
160, Maldives ,3.2,73
161, Nepal ,28,84
162, Thailand ,15,100
163, Cambodia ,13,105
164, Laos ,18,105
165, Vietnam ,16.166667,107.833333
166, Malaysia ,2.5,112.5
167, Singapore ,1.366667,103.8
168, Brunei ,4.5,114.666667
169, Philippines ,13,122
170, Indonesia ,-5,120
171, Australia ,-25,135
172, Papua New Guinea ,-6,147
173, New Zealand ,-42,174
174, Vanuatu ,-16,167
175, Solomon Islands ,-8,159
176, Kiribati ,-5,-170
177, Tuvalu ,-8,178
178, Fiji ,-18,178
179, Tonga ,-20,-175
180, Nauru ,-0.533333,166.916667
181, Marshall Islands ,10,167
182, Palau ,6,134
183, Federated States of Micronesia ,5,152
184, Samoa ,-13.803096,-172.178309
185, United States of America ,39.828175,-98.5795
186, St. Lucia ,13.909444,-60.978893
187, Antigua & Barbuda ,17.0746557,-61.8175207
188, Ivory Coast ,7.539989,-5.54708
189, Yemen Arab Republic ,15.552727,48.516388
190, East Timor ,-8.874217,125.727539
191, St. Vincent and the Grenadines ,12.984305,-61.287228
192, St. Kitts and Nevis ,17.357822,-62.782998
193, German Federal Republic ,51.165691,10.451526
194, German Democratic Republic ,51.165691,10.451526
195, Czechoslovakia ,49.16093622,17.97784481
196, Yugoslavia ,44.50758293,17.08964854
197, Congo ,-4.038333,21.758664
198, Yemen People's Republic ,15.552727,48.516388
199, Myanmar ,21.916221,95.955974
200, Republic of Vietnam ,14.058324,108.277199
