country,LAT,LONG
Afghanistan,33,66
Albania,41,20
Algeria,28,3
Angola,-12.5,18.5
Argentina,-34,-64
Armenia,40,45
Australia,-25,135
Austria,47.333333,13.333333
Azerbaijan,40.5,47.5
Bahrain,26,50.5
Bangladesh,24,90
Belarus,53,28
Belgium,50.833333,4
Belize,17.25,-88.75
Benin,9.5,2.25
Bhutan,27.5,90.5
Bolivia,-17,-65
Bosnia and Herzegovina,44.25,17.833333
Botswana,-22,24
Brazil,-10,-55
Bulgaria,43,25
Burkina Faso,13,-2
Burundi,-3.5,30
Cambodia,13,105
Cameroon,6,12
Canada,60,-96
Central African Republic,7,21
Chad,15,19
Chile,-30,-71
China,35,105
Colombia,4,-72
Comoros,-12.166667,44.25
Congo (Brazzaville),-4.2633597,15.2428853
Congo (Kinshasa),-4.4419311,15.2662931
Costa Rica,10,-84
Croatia,45.166667,15.5
Cyprus,35,33
Czech Republic,49.75,15
Denmark,56,10
Djibouti,11.5,42.5
Dominican Republic,19,-70.666667
Ecuador,-2,-77.5
Egypt,27,30
El Salvador,13.833333,-88.916667
Estonia,59,26
Ethiopia,8,38
Finland,64,26
France,46,2
Gabon,-1,11.75
Georgia,41.999981,43.499905
Germany,51.5,10.5
Ghana,8,-2
Greece,39,22
Guatemala,15.5,-90.25
Guinea,11,-10
Haiti,19,-72.416667
Honduras,15,-86.5
Hungary,47,20
Iceland,65,-18
India,20,77
Indonesia,-5,120
Iran,32,53
Iraq,33,44
Ireland,53,-8
Israel,31.5,34.75
Italy,42.833333,12.833333
Ivory Coast,7.539988999999999,-5.547079999999999
Jamaica,18.25,-77.5
Japan,36,138
Jordan,31,36
Kazakhstan,48,68
Kenya,1,38
Kosovo,42.583333,21
Kuwait,29.5,47.75
Kyrgyzstan,41,75
Laos,18,105
Latvia,57,25
Lebanon,33.833333,35.833333
Lesotho,-29.5,28.25
Liberia,6.5,-9.5
Libya,25,17
Lithuania,56,24
Luxembourg,49.75,6.166667
Macedonia,41.833333,22
Madagascar,-20,47
Malawi,-13.5,34
Malaysia,2.5,112.5
Mali,17,-4
Malta,35.916667,14.433333
Mauritania,20,-12
Mauritius,-20.3,57.583333
Mexico,23,-102
Moldova,47,29
Mongolia,46,105
Montenegro,42.5,19.3
Morocco,32,-5
Mozambique,-18.25,35
Myanmar,21.916221,95.955974
Namibia,-22,17
Nepal,28,84
Netherlands,52.5,5.75
New Zealand,-42,174
Nicaragua,13,-85
Niger,16,8
Nigeria,10,8
North Cyprus,35.2480359,33.6577243
Norway,62,10
Oman,21,57
Pakistan,30,70
Palestinian Territories,31.952162,35.233154
Panama,9,-80
Paraguay,-22.993333,-57.996389
Peru,-10,-76
Philippines,13,122
Poland,52,20
Portugal,39.5,-8
Qatar,25.5,51.25
Romania,46,25
Russia,60,100
Rwanda,-2,30
Saudi Arabia,25,45
Senegal,14,-14
Serbia,44,21
Sierra Leone,8.5,-11.5
Singapore,1.366667,103.8
Slovakia,48.666667,19.5
Slovenia,46.25,15.166667
Somalia,6,48
Somaliland region,9.4117434,46.8252838
South Africa,-30,26
South Korea,37,127.5
South Sudan,8,30
Spain,40,-4
Sri Lanka,7,81
Sudan,16,30
Suriname,4,-56
Swaziland,-26.5,31.5
Sweden,62,15
Switzerland,47,8
Syria,35,38
Taiwan Province of China,24,121
Tajikistan,39,71
Tanzania,-6,35
Thailand,15,100
Togo,8,1.166667
Trinidad and Tobago,11,-61
Tunisia,34,9
Turkey,39.059012,34.911546
Turkmenistan,40,60
Uganda,2,33
Ukraine,49,32
United Arab Emirates,24,54
United Kingdom,54,-4
United States,39.828175,-98.5795
Uruguay,-33,-56
Uzbekistan,41.707542,63.84911
Venezuela,8,-66
Vietnam,16.166667,107.833333
Yemen,15.5,47.5
Zambia,-15,30
Zimbabwe,-19,29
Cuba,21.521757,-77.781167
Guyana,4.860416,-58.93018
Hong Kong S.A.R. of China,22.396428,114.109497
